,YEAR,GDP growth,GDP per capita,Inflation rate,"GDP, current prices",GDP based on PPP,Implied PPP conversion rate
0,1980,7.9,306.98,2,302.76,2.259,1.5
1,1981,5.1,288.491,2.5,348.305,2.324,1.413
2,1982,9,279.971,2,403.112,2.524,1.336
3,1983,10.8,296.509,2,464.138,2.732,1.3
4,1984,15.2,301.111,2.7,553.986,3.014,1.316
5,1985,13.5,292.99,9.3,648.661,3.303,1.404
6,1986,8.9,279.908,6.5,720.616,3.478,1.442
7,1987,11.7,299.842,7.3,824.837,3.744,1.479
8,1988,11.2,368.079,18.8,949.562,3.983,1.602
9,1989,4.2,406.534,18,1028.244,4.004,1.678
10,1990,3.9,346.873,3.1,1108.201,3.999,1.712
11,1991,9,356.759,3.4,1248.742,4.255,1.762
12,1992,14.3,420.025,6.4,1459.551,4.378,1.859
13,1993,13.9,520.966,14.8,1701.521,4.891,2.091
14,1994,13,468.658,24.3,1964.285,5.371,2.465
15,1995,11,603.526,16.8,2225.45,5.751,2.743
16,1996,9.9,703.06,8.3,2491.03,6.088,2.872
17,1997,9.2,774.91,2.8,2768.307,6.392,2.869
18,1998,7.9,820.903,-0.8,3019.394,6.709,2.808
19,1999,7.7,865.236,-1.4,3297.109,6.984,2.733
20,2000,8.5,951.163,0.4,3657.469,7.229,2.729
21,2001,8.3,1044.958,0.7,4050.989,7.646,2.725
22,2002,9.1,1141.14,-0.7,4489.109,8.115,2.703
23,2003,10,1282.21,1.1,5036.463,8.581,2.723
24,2004,10.1,1499.712,3.8,5694.74,8.977,2.833
25,2005,11.4,1751.368,1.8,6542.261,9.547,2.868
26,2006,12.7,2095.239,1.6,7601.315,10.221,2.889
27,2007,14.2,2691.048,4.8,8918.947,11.079,3.033
28,2008,9.6,3446.695,5.9,9961.922,11.792,3.193
29,2009,9.4,3813.408,-0.7,10972.761,12.961,3.168
30,2010,10.6,4499.803,3.2,12282.959,13.61,3.326
31,2011,9.6,5553.242,5.5,13735.671,14.34,3.524
32,2012,7.8,6282.709,2.6,15137.455,15.008,3.561
33,2013,7.8,7039.574,2.6,16277.355,15.385,3.664
34,2014,7.4,7645.875,2.1,17200.686,15.674,3.759
35,2015,7,8034.287,1.5,17880.337,15.964,3.871
36,2016,6.9,8063.446,2.1,18701.703,16.079,3.989
37,2017,6.9,8760.259,1.5,19814.058,16.178,4.184
38,2018,6.8,9848.949,1.9,21660.211,16.677,4.228
39,2019,6,10170.061,2.9,23360.814,17.199,4.241
40,2020,2.2,10525.001,2.5,24196.274,18.131,4.239
41,2021,8.4,12572.071,0.9,27419.465,18.505,4.177
42,2022,3,12669.617,1.9,30217.113,18.443,3.988
43,2023,5,12541.403,0.7,32897.929,18.821,3.809
44,2024,4.2,13155.889,1.7,35042.689,19.05,3.791
45,2025,4.1,14031.401,2.2,37220.761,19.225,3.782
46,2026,4.1,14951.6,2.2,39487.605,19.392,3.785
47,2027,3.7,15843.618,2.2,41682.466,19.496,3.796
48,2028,3.4,16802.947,2.2,43889.882,19.56,3.809
